TRUE	PRED	PDF	page_number
Yes	Yes	company13.pdf	43
Yes	Yes	company5.pdf	30
Yes	Yes	company23.pdf	55
Yes	Yes	company30.pdf	178
Yes	No	company10.pdf	42
Yes	Yes	company16.pdf	7
Yes	Yes	company14.pdf	14
Yes	Yes	company8.pdf	58
Yes	Yes	company7.pdf	52
No	Yes	company4.pdf	89
Yes	Yes	company13.pdf	26
No	No	company13.pdf	4
No	Yes	company4.pdf	51
Yes	Yes	company6.pdf	44
No	Yes	company3.pdf	25
Yes	No	company15.pdf	146
Yes	Yes	company5.pdf	9
Yes	Yes	company30.pdf	102
No	Yes	company14.pdf	19
Yes	Yes	company28.pdf	31
No	Yes	company19.pdf	10
Yes	No	company18.pdf	117
Yes	Yes	company20.pdf	87
Yes	No	company4.pdf	20
Yes	Yes	company19.pdf	106
Yes	No	company15.pdf	88
Yes	Yes	company11.pdf	50
Yes	Yes	company17.pdf	71
Yes	Yes	company7.pdf	37
Yes	No	company8.pdf	90
Yes	No	company6.pdf	26
No	No	company21.pdf	48
Yes	Yes	company12.pdf	43
No	No	company5.pdf	89
No	Yes	company6.pdf	9
Yes	No	company13.pdf	35
Yes	Yes	company1.pdf	25
Yes	Yes	company17.pdf	86
No	Yes	company15.pdf	115
No	Yes	company17.pdf	59
No	Yes	company8.pdf	11
Yes	Yes	company2.pdf	31
Yes	Yes	company11.pdf	100
Yes	No	company1.pdf	114
No	No	company18.pdf	91
Yes	No	company26.pdf	87
No	Yes	company30.pdf	152
Yes	Yes	company24.pdf	31
Yes	Yes	company15.pdf	16
Yes	Yes	company11.pdf	7
No	Yes	company2.pdf	82
